NmKGE_cmd,Log(CMD),Wet Threshold,Dry Threshold
366.8106819,2.564441974,2.535581621,2.847262721
369.5937779,2.567724651,2.535581621,2.847262721
372.7362229,2.5714016,2.535581621,2.847262721
373.8507887,2.572698301,2.535581621,2.847262721
376.6465072,2.575933944,2.535581621,2.847262721
381.2381633,2.581196369,2.535581621,2.847262721
385.0919479,2.585564438,2.535581621,2.847262721
389.1744205,2.590144287,2.535581621,2.847262721
392.9222493,2.594306622,2.535581621,2.847262721
398.2724036,2.600180215,2.535581621,2.847262721
403.221293,2.605543458,2.535581621,2.847262721
407.9673819,2.610625441,2.535581621,2.847262721
410.1127483,2.612903269,2.535581621,2.847262721
392.92366,2.594308181,2.535581621,2.847262721
394.7904764,2.596366668,2.535581621,2.847262721
397.6301238,2.599479278,2.535581621,2.847262721
401.8613239,2.604076211,2.535581621,2.847262721
407.2434702,2.609854129,2.535581621,2.847262721
410.738385,2.613565291,2.535581621,2.847262721
415.7538556,2.618836285,2.535581621,2.847262721
420.2927302,2.623551878,2.535581621,2.847262721
424.1350305,2.627504143,2.535581621,2.847262721
428.3885761,2.631837881,2.535581621,2.847262721
433.7012699,2.637190694,2.535581621,2.847262721
439.0340612,2.642498215,2.535581621,2.847262721
444.0651177,2.64744666,2.535581621,2.847262721
449.3239449,2.652559563,2.535581621,2.847262721
454.2576587,2.657302258,2.535581621,2.847262721
459.0568151,2.661866439,2.535581621,2.847262721
464.547925,2.667030525,2.535581621,2.847262721
469.7456397,2.671862758,2.535581621,2.847262721
474.8466953,2.67655342,2.535581621,2.847262721
478.1448862,2.679559515,2.535581621,2.847262721
481.2469996,2.682368035,2.535581621,2.847262721
485.4675965,2.686160247,2.535581621,2.847262721
490.6273038,2.690751713,2.535581621,2.847262721
496.1702295,2.695630703,2.535581621,2.847262721
503.0542142,2.701614792,2.535581621,2.847262721
510.7400455,2.708199911,2.535581621,2.847262721
516.9835102,2.713476691,2.535581621,2.847262721
522.3421411,2.717955065,2.535581621,2.847262721
525.5517141,2.720615457,2.535581621,2.847262721
529.875259,2.724173642,2.535581621,2.847262721
534.849988,2.72823199,2.535581621,2.847262721
539.5504622,2.732032069,2.535581621,2.847262721
544.4208759,2.73593477,2.535581621,2.847262721
548.8718413,2.739470951,2.535581621,2.847262721
553.6155181,2.743208255,2.535581621,2.847262721
557.4299282,2.746190282,2.535581621,2.847262721
562.6801844,2.750261621,2.535581621,2.847262721
567.3530843,2.75385342,2.535581621,2.847262721
572.0767038,2.757454263,2.535581621,2.847262721
